Project Info,,Sample Info,,,,Concentration,,Optional Columns,
Project Name,User Email,Plate Name,Well,NCBITaxId,Sample Name,Concentration(ng/ul),Volume (ul),Experimental Condition,Tissue Type
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,A01,4577,19A0205,203,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,B01,4577,19A0303,214,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,C01,4577,19A0202,226,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,D01,4577,19A0240,214,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,E01,4577,19A0366,209,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,F01,4577,19A0210,226,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,G01,4577,19A0148,202,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,H01,4577,19A0369,218,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,A02,4577,19A0133,224,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,B02,4577,19A0410,257,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,C02,4577,19A0231,220,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,D02,4577,19A0262,203,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,E02,4577,19A0192,220,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,F02,4577,19A0024,210,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,G02,4577,19A0382,219,20,Experimental,Kernel
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,H02,4577,19A0359,245,20,Experimental,Kernel
